"timestamp CLC";"x CLC";"y CLC";"id CLC";"timestamp MVT";"x MVT";"y MVT";"timestamp TOC";"id TOC";
;;;;"15651627";"167";"300";;;
;;;;"15651845";"167";"300";;;
;;;;"15651861";"174";"305";;;
;;;;"15651876";"232";"342";;;
;;;;"15651892";"273";"363";;;
;;;;"15651907";"367";"402";;;
;;;;"15651923";"443";"411";;;
;;;;"15651939";"459";"410";;;
;;;;"15651954";"492";"389";;;
;;;;"15651970";"518";"325";;;
;;;;"15652001";"522";"266";;;
;;;;"15652017";"503";"108";;;
;;;;"15652032";"464";"7";;;
;;;;"15652048";"453";"0";;;
;;;;"15652063";"410";"0";;;
;;;;"15652079";"368";"16";;;
;;;;"15652095";"332";"72";;;
;;;;"15652110";"321";"105";;;
;;;;"15652141";"319";"197";;;
;;;;"15652157";"338";"282";;;
;;;;"15652173";"375";"340";;;
;;;;"15652188";"390";"356";;;
;;;;;;;"15652188";"s";
;;;;;;;"15652469";"d";
;;;;;;;"15652469";"f";
;;;;;;;"15652594";"s";
;;;;;;;"15652625";"d";
;;;;;;;"15652719";"f";
;;;;;;;"15652797";"s";
;;;;;;;"15652812";"d";
;;;;;;;"15652859";"f";
;;;;"15653639";"456";"388";;;
;;;;"15653655";"429";"325";;;
;;;;"15653686";"381";"285";;;
;;;;"15653701";"307";"270";;;
;;;;"15653717";"282";"273";;;
;;;;"15653733";"223";"301";;;
;;;;"15653748";"185";"336";;;
;;;;"15653764";"177";"348";;;
;;;;"15653779";"165";"375";;;
;;;;"15653795";"165";"406";;;
;;;;"15653811";"183";"441";;;
;;;;"15653842";"200";"454";;;
;;;;"15653857";"284";"488";;;
;;;;"15653873";"351";"490";;;
;;;;"15653889";"369";"488";;;
;;;;"15653904";"396";"473";;;
;;;;"15653920";"408";"458";;;
;;;;"15653935";"414";"441";;;
;;;;"15653951";"414";"435";;;
;;;;"15653967";"411";"420";;;
;;;;"15653998";"395";"399";;;
;;;;"15654013";"378";"386";;;
;;;;"15654029";"373";"384";;;
;;;;"15654045";"365";"384";;;
;;;;"15654060";"359";"385";;;
;;;;"15654076";"359";"386";;;
;;;;;;;"15654325";"s";
;;;;;;;"15654341";"d";
;;;;;;;"15654372";"f";
;;;;;;;"15654528";"s";
;;;;;;;"15654528";"d";
;;;;;;;"15654606";"f";
;;;;;;;"15654700";"s";
;;;;;;;"15654700";"d";
;;;;;;;"15654778";"f";
;;;;"15655495";"356";"390";;;
;;;;"15655527";"366";"370";;;
;;;;"15655542";"370";"356";;;
;;;;"15655558";"370";"352";;;
;;;;"15655573";"360";"335";;;
;;;;"15655589";"315";"298";;;
;;;;"15655605";"248";"279";;;
;;;;"15655620";"231";"279";;;
;;;;"15655636";"187";"293";;;
;;;;"15655651";"156";"315";;;
;;;;"15655683";"149";"321";;;
;;;;"15655698";"136";"339";;;
;;;;"15655714";"125";"370";;;
;;;;"15655729";"125";"412";;;
;;;;"15655745";"127";"424";;;
;;;;"15655761";"140";"451";;;
;;;;"15655776";"160";"472";;;
;;;;"15655792";"167";"477";;;
;;;;"15655807";"185";"480";;;
